,id,yearDiff,Stimmfach,H1H2LTAS,alphaRatio,CPPs,SNR,Jahr,alter,geschlecht,Voice Type,dSPL
68,66,0.10136986301369863,Sop/Mezzo/Alt,1.8381317461798343,0.44087879297770904,18.695769438611578,62.376346588134766,2017,22.0,weibl.,Soprano,35.60775164264231
69,66,1.1917808219178083,Sop/Mezzo/Alt,0.8855785111187879,1.6022245566562474,18.4229316334911,62.315497398376465,2017,22.0,weibl.,Soprano,35.117932406459495
70,72,0.5589041095890411,Sop/Mezzo/Alt,,,,,2008,25.0,weibl.,Mezzo-Soprano/Contralto,
71,72,1.747945205479452,Sop/Mezzo/Alt,,,,,2008,25.0,weibl.,Mezzo-Soprano/Contralto,
72,72,2.1671232876712327,Sop/Mezzo/Alt,0.12849252549095905,1.035595138230222,17.933942761517645,100.17121191272261,2008,25.0,weibl.,Mezzo-Soprano/Contralto,2.524554941963137
73,72,3.2904109589041095,Sop/Mezzo/Alt,3.614639121596376,0.4552603881796116,17.599569289758154,104.63166643473531,2008,25.0,weibl.,Mezzo-Soprano/Contralto,1.620767522460089
74,74,0.1589041095890411,Sop/Mezzo/Alt,3.0355902165905935,0.12343558267553631,19.08368067424669,58.20124626159668,2016,23.0,weibl.,Mezzo-Soprano/Contralto,35.34403061842209
75,74,1.2136986301369863,Sop/Mezzo/Alt,5.941108301510366,-0.7197914653092187,17.618867749543007,55.10561466217041,2016,23.0,weibl.,Mezzo-Soprano/Contralto,24.041768423733537
76,77,1.3041095890410959,Sop/Mezzo/Alt,4.780888002851141,-0.31506074542277673,17.091058396821733,43.154311180114746,2007,19.0,weibl.,Soprano,27.951792450066712
77,77,2.3205479452054796,Sop/Mezzo/Alt,4.518733665529739,-0.343959224130958,15.531225601892894,41.70694351196289,2007,19.0,weibl.,Soprano,24.722333168379322
78,78,1.4575342465753425,Sop/Mezzo/Alt,3.4350529039402673,0.20633893452654498,16.906012753077274,50.12148380279541,2007,19.0,weibl.,Soprano,32.13345721838958
79,78,2.493150684931507,Sop/Mezzo/Alt,3.063726784068394,0.8504241511845376,17.32819327502531,47.09390640258789,2007,19.0,weibl.,Soprano,32.83517070192686
80,78,3.778082191780822,Sop/Mezzo/Alt,0.8224247388475902,0.9814094306212413,17.325874145636742,61.598358154296875,2007,19.0,weibl.,Soprano,29.847073857904295
81,80,0.09315068493150686,Sop/Mezzo/Alt,4.3497924748206875,-0.4258917750381548,16.426904343248303,85.95189042475262,2008,19.0,weibl.,Soprano,-10.0144066675323
82,80,1.2986301369863014,Sop/Mezzo/Alt,3.6190312945188974,0.12161715843386477,16.523526069578416,52.531681060791016,2008,19.0,weibl.,Soprano,29.91920979387622
83,80,2.1671232876712327,Sop/Mezzo/Alt,4.06205418611496,-0.6365313652901828,17.337695159424083,104.12179010666154,2008,19.0,weibl.,Soprano,-1.6046297141871912
84,80,3.293150684931507,Sop/Mezzo/Alt,5.204780353361569,-0.3752386791230835,17.218957875700408,100.76731182646768,2008,19.0,weibl.,Soprano,-3.7821316842000376
85,81,0.12054794520547946,Sop/Mezzo/Alt,3.889065132724206,-0.7425422256476134,17.728722999424168,57.61093616485596,2017,23.0,weibl.,Mezzo-Soprano/Contralto,35.22711290911716
